bid,page
11750147,1
12175142,4
12152757,2
12471744,1
12320694,2
12256508,1
12426149,1
12443699,1
12344942,1
12210095,1
12210069,1
6059147,1
12496755,1
11322800,1
5180,99
12470816,2
1877597,101
12429933,1
12121494,1
7290748,56
12258366,1
12247878,1
12508179,1
12470540,1
12481711,1
12495397,1
10933215,8
12481187,1
12500982,1
12299996,3
12175343,1
11957282,1
12307230,1
12270139,1
11757356,1
11737603,1
12210472,1
12153526,31
8820033,1
9229948,1
12277462,1
12226434,1
116059,1
12472192,1
11612414,2
12307295,1
12258334,4
12304259,2
12471475,1
12471352,1
12428760,1
11587712,28
7413895,1
11573148,1
2920418,33
11957283,1
12430908,2
10370384,10
11356105,14
12119003,5
7204546,1
6737822,190
10290989,3
11332186,6
10086025,6
12206702,1
12426042,1
10768472,1
12283822,3
11356023,1
8095573,1
4667608,2
12256890,2
12506718,1
11777658,3
12508180,1
11771027,2
12507993,1
11526657,1
12107977,1
9273234,1
12429971,2
12106032,1
10933311,4
6031338,14
8018469,6
180381,12
10660713,1
7305218,13
9992385,21
2079966,2
8550376,2
6963604,4
12235350,1
183729,9
12343425,1
12166063,1
11957070,3
9168572,14
11491956,1
12270619,2
12320375,3
12235969,1
12054210,2
11637481,1
10086877,7
12167072,5
12481696,1
11618560,1
11802102,1
12452615,1
12343472,3
12481175,1
12320378,4
12481839,1
12332096,2
6883279,2
7919364,1
12236119,1
11895783,3
172781,33
6992205,18
7528272,1
10961900,67
11134222,1
11618438,4
11481151,2
8989269,3
12175182,1
7850071,2
11480739,1
12257862,2
12304265,5
12470482,1
6063017,1
7147367,31
11536071,1
11296737,4
7441326,1
7444546,1
12471477,1
10728191,1
10207413,1
9983261,1
12299254,1
12298644,1
12333229,1
12485112,1
12481738,1
11575805,1
12129895,1
12106358,2
9910113,1
12166987,2
12226670,1
11305962,1
12496208,1
9053751,175
8943037,58
12485138,2
7437882,78
20349,242
7188340,6
10590147,6
11332741,2
11197896,3
12231564,1
1507354,11
6773497,3
11355892,3
12210482,1
12175193,1
12332482,1
12119149,2
45482,1
12143276,1
10307784,1
12428540,1
12299251,1
12318893,1
12254080,1
12235368,1
6056009,1
8824523,1
12344163,2
11544330,1
12320241,1
12481698,1
12485114,1
12471796,1
12496753,1
6200221,134
125192,97
8994698,16
6800163,18
11243168,22
11659498,27
8163227,1
10052052,5
11270889,1
10962064,4
10867389,1
12058790,3
8825922,1
12430561,1
7152669,20
12235891,1
12072501,5
10910878,5
12225421,1
12299549,1
12428726,1
12236791,1
12307219,1
7102167,1
7493110,5
9101190,1
12344239,1
12430924,1
12198317,3
12430370,1
12486208,1
12471425,1
12495947,1
11772416,1
170132,36
174820,37
64853,409
4685812,79
7406625,25
11771909,8
12149796,6
12106011,2
6692966,11
12181455,1
12129939,2
4569434,53
11491358,1
7241400,32
12307238,1
11869761,1
12181413,3
7275791,26
11504595,3
11991272,5
1461974,1
10290125,1
12211025,4
11783861,1
10107728,4
12320377,2
12256519,1
11480737,1
12236676,5
6860424,1
6598613,1
12344209,1
12095396,1
11714476,1
7434505,1
10207435,1
12430586,1
11536098,1
12332058,3
12320155,1
12428562,1
12428775,1
12485908,1
12049321,1
12451627,1
12451628,1
12495218,5
11297057,7
5188,145
11211612,21
9820843,9
10702572,8
12318901,1
9595780,47
8518884,1
140137,25
11463103,16
12285222,1
9991878,4
11575284,8
11223390,1
10832739,5
9981885,1
11480742,1
12307259,1
8305444,7
12308200,4
12256428,1
11481157,2
9529667,2
12518643,1
12439170,1
12307520,4
12472170,1
7301452,5
12486339,1
7162754,1
185289,21
11369421,2
12443611,2
10963754,5
2500218,16
10794719,13
11991843,5
12118193,1
6002739,120
12059148,1
6994663,27
12257066,1
12121115,1
8064159,1
8539163,4
10495836,1
1533263,3
11228431,1
12166302,2
12270385,1
11659363,1
12285349,1
10771081,4
9078379,8
8522052,2
11492025,1
12470483,1
12247678,1
12254000,1
12299957,2
12428767,1
3104573,1
12095879,1
12210067,2
12308447,2
7275362,4
8823902,1
11737496,1
12481159,1
12438349,1
12471479,1
11792140,1
12270621,2
12481731,1
11514776,1
10415423,1
12470555,1
12495950,1
12496128,1
12496163,1
11783872,1
12495334,1
11956246,1
11172537,1
10129166,91
7088498,1
11771332,1
5202,58
6383547,6
11242999,13
7125468,8
6018863,6
11824702,8
11418001,9
11576635,2
203699,55
12106353,1
11957335,3
8638831,7
12235888,2
6637028,17
12130106,1
11433400,1
8817104,31
10710327,4
8500926,1
9511785,7
10963728,1
12277788,1
11281915,1
12152481,1
10700942,1
6225830,1
12299341,3
11945571,3
12210994,2
12113832,1
8063629,4
11020309,1
11472743,2
